id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95102,2020-04-03 22:31:52,厄瓜多尔,3163,0,65,120,0,,415.0,0.0,7.0,27.0,0.0,,
957777,2020-04-03 22:23:45,捷克,3869,0,71,46,0,,280.0,0.0,10.0,7.0,0.0,,
9522222,2020-04-03 17:19:45,匈牙利,623,0,43,26,0,,38.0,0.0,1.0,5.0,0.0,,
8101,2020-03-27 20:27:46,法属圭亚那,23,0,0,1,0,,,0.0,,,0.0,,
8102,2020-04-03 21:09:46,多哥共和国,40,0,17,3,0,,1.0,0.0,0.0,1.0,0.0,,
8100,2020-04-01 07:36:43,哥斯达黎加,347,0,4,2,0,,,0.0,,,0.0,,
8105,2020-04-03 17:35:41,文莱,134,0,65,1,0,,1.0,0.0,9.0,0.0,0.0,,
8103,2020-03-31 00:00:31,法罗群岛,159,0,0,0,0,,,0.0,,,0.0,,
8104,2020-03-31 00:00:31,马提尼克岛,91,0,0,1,0,,,0.0,,,0.0,,
95120,2020-04-03 22:11:48,荷兰,15723,0,260,1487,0,,1026.0,0.0,7.0,148.0,0.0,,
951234567,2020-04-03 06:56:56,巴西,7910,0,127,299,0,,1074.0,0.0,0.0,58.0,0.0,,
8115,2020-04-01 00:00:31,洪都拉斯,141,0,3,7,0,,,0.0,,,0.0,,
95394,2020-04-03 09:48:20,乌拉圭,369,0,68,4,0,,,0.0,,,0.0,,
95390,2020-04-03 06:59:14,秘鲁,1414,0,537,55,0,,349.0,0.0,143.0,25.0,0.0,,
956666,2020-04-03 09:49:14,智利,3404,0,335,18,0,,373.0,0.0,101.0,2.0,0.0,,
95389,2020-03-19 20:28:24,格陵兰,1,0,0,0,0,,,0.0,,,0.0,,
95382,2020-03-07 00:00:31,圣巴托洛谬岛,1,0,0,0,0,,,0.0,,,0.0,,
950101010,2020-04-01 00:00:31,马尔代夫,18,0,13,0,0,,,0.0,,,0.0,,
95384,2020-04-01 00:00:31,委内瑞拉,135,0,39,3,0,,,0.0,,,0.0,,
8134,2020-04-03 07:03:00,毛里塔尼亚,6,0,2,1,0,,0.0,0.0,0.0,0.0,0.0,,
8135,2020-04-03 04:30:45,纳米比亚,14,0,3,0,0,,1.0,0.0,3.0,0.0,0.0,,
8132,2020-04-01 00:00:31,法属留尼汪岛,47,0,0,0,0,,,0.0,,,0.0,,
8133,2020-04-01 00:00:31,波多黎各,64,0,0,2,0,,,0.0,,,0.0,,
95732,2020-04-03 01:23:45,加纳,204,0,3,5,0,,9.0,0.0,0.0,0.0,0.0,,
8136,2020-04-01 10:54:46,赤道几内亚,15,0,1,0,0,,,0.0,,,0.0,,
8130,2020-04-03 07:25:58,几内亚,52,0,1,0,0,,22.0,0.0,0.0,0.0,0.0,,
8131,2020-04-03 02:22:40,卢旺达,84,0,0,0,0,,2.0,0.0,0.0,0.0,0.0,,
80001,2020-03-31 00:00:31,格林纳达,9,0,1,0,0,,,0.0,,,0.0,,
8129,2020-04-01 00:00:31,斯威士兰,9,0,0,0,0,,,0.0,,,0.0,,
8145,2020-04-03 19:07:51,坦桑尼亚,20,0,3,1,0,,0.0,0.0,1.0,0.0,0.0,,
8146,2020-04-02 07:18:38,贝宁,13,0,1,0,0,,,0.0,,,0.0,,
8143,2020-04-03 06:57:30,刚果（金）,134,0,3,13,0,,11.0,0.0,0.0,2.0,0.0,,
8144,2020-03-29 00:00:31,中非共和国,6,0,0,0,0,,,0.0,,,0.0,,
8147,2020-04-02 07:48:18,利比里亚,6,0,0,0,0,,,0.0,,,0.0,,
8148,2020-04-01 08:55:12,索马里,5,0,0,0,0,,,0.0,,,0.0,,
95123456,2020-04-02 01:50:51,塞拉利昂,2,0,0,0,0,,,0.0,,,0.0,,
95XXXX,2020-04-01 00:00:31,乍得,7,0,0,0,0,,,0.0,,,0.0,,
8152,2020-04-03 21:00:15,赞比亚,39,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,
8151,2020-04-01 00:00:31,巴巴多斯,34,0,0,0,0,,,0.0,,,0.0,,
95mali,2020-04-03 02:43:53,马里,36,0,0,3,0,,5.0,0.0,0.0,0.0,0.0,,
958888,2020-04-02 08:15:13,阿根廷,1133,0,240,32,0,,,0.0,,,0.0,,
81113,2020-03-27 09:17:01,法属波利尼西亚,25,0,0,0,0,,,0.0,,,0.0,,
9584332,2020-04-03 19:02:42,巴林,672,0,372,4,0,,37.0,0.0,31.0,0.0,0.0,,
8168,2020-04-02 07:35:52,莫桑比克,10,0,0,0,0,,,0.0,,,0.0,,
95747,2020-04-03 04:23:07,喀麦隆,306,0,10,8,0,,22.0,0.0,7.0,6.0,0.0,,
8165,2020-04-03 02:52:21,乌干达,45,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,,
8166,2020-04-03 02:37:42,厄立特里亚,22,0,0,0,0,,4.0,0.0,0.0,0.0,0.0,,
95983,2020-04-03 07:01:24,刚果（布）,41,0,0,3,0,,19.0,0.0,0.0,3.0,0.0,,
8162,2020-04-03 04:31:25,津巴布韦,9,0,0,1,0,,1.0,0.0,0.0,0.0,0.0,,
956475,2020-04-03 22:24:36,丹麦,3386,0,1287,123,0,,279.0,0.0,393.0,19.0,0.0,,
81344,2020-03-27 09:24:27,阿鲁巴,19,0,0,0,0,,,0.0,,,0.0,,
95776,2020-03-27 00:00:31,斐济,5,0,0,0,0,,,0.0,,,0.0,,
8172,2020-04-01 00:00:31,伯利兹,3,0,0,0,0,,,0.0,,,0.0,,
8173,2020-04-03 07:23:29,缅甸,20,0,0,1,0,,4.0,0.0,0.0,0.0,0.0,,
9568067,2020-04-03 01:18:35,塞浦路斯,356,0,4,10,0,,36.0,0.0,0.0,1.0,0.0,,
81134,2020-03-27 08:38:06,关岛,37,0,0,1,0,,,0.0,,,0.0,,
888779,2020-03-30 07:59:41,科索沃,94,0,1,1,0,,,0.0,,,0.0,,
95251456,2020-04-03 12:34:47,吉尔吉斯斯坦,125,0,0,1,0,,9.0,0.0,0.0,1.0,0.0,,
8197,2020-04-01 08:38:13,博茨瓦纳,4,0,0,1,0,,,0.0,,,0.0,,
95309,2020-04-03 17:20:22,尼日尔,98,0,0,5,0,,24.0,0.0,0.0,0.0,0.0,,
95305,2020-04-01 08:08:04,苏里南,9,0,0,0,0,,,0.0,,,0.0,,
95306,2020-03-31 00:00:31,佛得角,6,0,0,1,0,,,0.0,,,0.0,,
95786,2020-04-01 00:00:31,萨尔瓦多,24,0,0,0,0,,,0.0,,,0.0,,
95303,2020-04-01 00:00:31,圭亚那,8,0,0,1,0,,,0.0,,,0.0,,
95787,2020-03-29 12:40:40,尼加拉瓜,4,0,0,1,0,,,0.0,,,0.0,,
95783,2020-03-30 09:33:45,冈比亚,4,0,0,1,0,,,0.0,,,0.0,,
9523416782,2020-03-22 00:00:31,东帝汶,1,0,0,0,0,,,0.0,,,0.0,,
950777,2020-04-03 22:35:39,巴基斯坦,2458,0,126,37,0,,39.0,0.0,19.0,3.0,0.0,,
9577890,2020-04-03 07:07:28,埃及,865,0,201,58,0,,86.0,0.0,22.0,6.0,0.0,,
9577665,2020-04-03 16:45:10,科威特,417,0,82,0,0,,75.0,0.0,1.0,0.0,0.0,,
95903,2020-04-03 22:16:34,斯洛伐克,450,0,8,1,0,,24.0,0.0,5.0,0.0,0.0,,
95904,2020-03-27 00:00:31,直布罗陀,3,0,0,0,0,,,0.0,,,0.0,,
959333,2020-04-03 02:43:03,摩纳哥,60,0,1,1,0,,5.0,0.0,0.0,0.0,0.0,,
9509765,2020-04-03 10:38:20,巴拉圭,92,0,1,3,0,,27.0,0.0,0.0,0.0,0.0,,
856671,2020-03-31 00:00:31,荷属安的列斯,7,0,0,1,0,,,0.0,,,0.0,,
95711,2020-04-01 00:00:31,多米尼克,12,0,0,0,0,,,0.0,,,0.0,,
95703,2020-04-03 13:14:31,乌兹别克斯坦,205,0,25,2,0,,15.0,0.0,13.0,0.0,0.0,,
95293,2020-04-01 10:55:38,黑山,109,0,0,1,0,,,0.0,,,0.0,,
95294,2020-04-01 00:00:31,危地马拉,36,0,10,1,0,,,0.0,,,0.0,,
95290,2020-04-01 07:26:13,加蓬,18,0,0,1,0,,,0.0,,,0.0,,
95291,2020-04-03 02:38:20,苏丹,8,0,0,2,0,,1.0,0.0,0.0,0.0,0.0,,
87435,2020-04-03 07:03:23,利比亚,11,0,0,1,0,,1.0,0.0,0.0,1.0,0.0,,
95287,2020-03-07 00:00:31,圣马丁岛,2,0,0,0,0,,,0.0,,,0.0,,
95046,2020-04-03 01:48:25,土耳其,18135,0,415,356,0,,2456.0,0.0,82.0,79.0,0.0,,
95047,2020-03-23 19:41:46,巴布亚新几内亚,1,0,0,0,0,,,0.0,,,0.0,,
95000011,2020-04-02 00:00:31,多米尼加,1109,0,5,51,0,,,0.0,,,0.0,,
95076,2020-04-03 02:24:47,约旦,299,0,45,5,0,,21.0,0.0,9.0,0.0,0.0,,
9532556,2020-04-03 17:24:21,亚美尼亚,736,0,43,7,0,,73.0,0.0,10.0,3.0,0.0,,
811192,2020-04-01 00:00:31,圣基茨和尼维斯,7,0,0,0,0,,,0.0,,,0.0,,
89665,2020-03-28 00:00:31,瓜德罗普,73,0,0,1,0,,,0.0,,,0.0,,
94367,2020-03-28 00:00:31,安提瓜和巴布达,7,0,0,0,0,,,0.0,,,0.0,,
95215,2020-04-01 00:00:31,玻利维亚,107,0,0,6,0,,,0.0,,,0.0,,
95693,2020-04-03 04:33:35,哥伦比亚,1161,0,31,19,0,,96.0,0.0,0.0,3.0,0.0,,
879903,2020-03-27 11:40:20,圣文森特和格林纳丁斯,1,0,0,0,0,,,0.0,,,0.0,,
84326,2020-03-31 00:00:31,圣卢西亚,9,0,1,0,0,,,0.0,,,0.0,,
10,2020-04-03 08:24:12,法国,59929,0,12548,5398,0,,824.0,0.0,0.0,0.0,0.0,,
11,2020-04-03 03:19:18,阿联酋,1024,0,96,8,0,,210.0,0.0,35.0,0.0,0.0,,
12,2020-04-03 22:14:50,加拿大,11283,0,1971,139,0,,1563.0,0.0,379.0,28.0,0.0,,
13,2020-04-03 22:34:04,印度,2567,0,192,72,0,,498.0,0.0,36.0,19.0,0.0,,
14,2020-04-03 21:37:17,英国,38168,0,192,3605,0,,4450.0,0.0,0.0,684.0,0.0,,
